url_slug,name,address,street,city,state,zip_code,phone,website,architect,architect_alt,public_private,hole,year_built,guest_policy,credit_card,golf_season,range,rental_club,pro_in_house,metal_spikes_okay,weekday,weekend,tee_time_welcomed,rental_cart_available,championship_par,championship_yards,championship_slope,championship_usga,middle_par,middle_yards,middle_slope,middle_usga,forward_par,forward_yards,forward_slope,forward_usga,top_100_ranking,_source
spring-hill-country-club,Spring Hill Country Club,155 NW Country Club Ln,155 NW Country Club Ln,Albany,Oregon,97321,(541) 928-5454,springhillcc.com,Fred Federspiel,Bud Fortier/Bill Robinson,Private,18,1960,Reciprocal,None,year round,Yes,Yes,,No,$,$,Yes,Yes,72,6432,120,70.50,72,6145,118,69.00,73,5461,123,71.00,,courses-data-18139
the-golf-club-of-oregon,The Golf Club of Oregon,905 NW Springhill Dr,905 NW Spring Hill Dr,Albany,Oregon,97321,(541) 928-8338,,Ralph & J. E. Roberts,Ralph Roberts/J.E. Roberts,Public,18,1929,Open,None,year round,Yes,Yes,,Yes,$,$,Yes,Yes,70,5841,111,67.80,70,5572,108,66.50,70,5129,117,68.90,,courses-data-18139
the-reserve-vineyards-and-golf-club-north-course,"The Reserve Vineyards & Golf Club, North Course",4805 SW 229th Ave,4805 SW 229th Ave,Aloha,Oregon,97007,(503) 649-8191,www.reservegolf.com,John Fought,"Robert E. Cupp, ASGCA",Semi-Private,18,1997,Open,"VISA, MasterCard, Amex, Discover Welcomed",year round,Yes,Yes,,No,$$,$$,Yes,Included in fee,72,7172,134,74.30,72,6809,129,72.70,72,5189,121,70.10,,courses-data-18139
the-reserve-vineyards-and-golf-club-south-course,"The Reserve Vineyards & Golf Club, South Course",4805 SW 229th Ave,4805 SW 229th Ave,Aloha,Oregon,97007,(503) 649-8191,www.reservegolf.com,John Fought,"John Fought, ASGCA",Semi-Private,18,1997,Open,"VISA, MasterCard, Amex, Discover Welcomed",year round,Yes,Yes,,No,$$,$$,Yes,Included in fee,72,7172,134,74.30,72,6809,129,72.70,72,5189,121,70.10,,courses-data-18139
oak-knoll-golf-course,Oak Knoll Golf Course,3070 Highway 66,3070 Hwy 66,Ashland,Oregon,97520,(541) 482-4311,www.oakknollgolf.org,,,Public,9,1924,Open,"VISA, MasterCard Welcomed",year round,No,Yes,,Yes,$,$,Yes,Yes,,,,,36,3020,118,34.10,38,2671,108,35.10,,courses-data-18139
langdon-farms-golf-club,Langdon Farms Golf Club,24377 NE Airport Rd,24377 Airport Rd NE,Aurora,Oregon,97002,(503) 678-4653,langdonfarms.com,Bob Cupp,"John Fought, ASGCA/Robert E. Cupp, ASGCA",Public,18,1995,Open,"VISA, MasterCard, Amex, Discover Welcomed",year round,Yes,Yes,,No,$$,$$,Yes,Included in fee,71,6935,125,73.30,71,6525,121,71.20,71,5249,114,69.40,,courses-data-18139
quail-ridge-golf-course,Quail Ridge Golf Course,2801 Indiana Ave,2801 Indiana Ave,Baker City,Oregon,97814,(541) 523-2358,www.bakercity.com,George Junor,"Ted Robinson, ASGCA",Public,9,1936,Open,None,Open: 3/01 Closed: 11/01,No,Yes,,Yes,$,$,Yes,Yes,,,,,35,3015,117,33.60,37,2799,118,35.00,,courses-data-18139
quail-valley-golf-course,Quail Valley Golf Course,12565 NW Aerts Rd,12565 NW Aerts Rd,Banks,Oregon,97106,(503) 324-4444,www.quailvalleygolf.com,John Zoller,John Zoller,Public,18,1993,Open,"VISA, MasterCard, Amex Welcomed",year round,Yes,Yes,,No,$,$,Yes,Yes,72,6603,122,71.60,72,6318,118,70.20,72,5519,117,71.50,,courses-data-18139
redtail-golf-center,RedTail Golf Center,8200 SW Scholls Ferry Rd,8200 SW Scholls Ferry Rd,Beaverton,Oregon,97008,(503) 646-5166,www.golfredtail.com,Ervin Thoresen,(R)John Zoller,Public,18,1965,Open,None,year round,Yes,Yes,,Yes,$,$,Yes,Yes,71,6426,112,69.80,71,6122,110,68.40,73,5626,115,71.70,,courses-data-18139
broken-top-club,Broken Top Club,62000 Broken Top Dr,61999 Broken Top Dr,Bend,Oregon,97702,(541) 383-0868,www.brokentop.com,Tom Weiskopf & Jay Morrish,"Jay Morrish, ASGCA/Tom Weiskopf",Private,18,1993,Reciprocal,"VISA, MasterCard, Amex Welcomed",Open: 3/15 Closed: 11/15,Yes,Yes,,No,$$$,$$$,Yes,Included in fee,72,7161,131,73.50,72,6559,126,70.60,72,5281,123,69.40,,courses-data-18139
lost-tracks-golf-club,Lost Tracks Golf Club,60205 Sunset View Dr,60205 Sunset View Dr,Bend,Oregon,97702,(541) 385-1818,losttracks.com,Brian Whitcomb,Brian Whitcomb,Public,18,1996,Open,"VISA, MasterCard, Discover Welcomed",year round,Yes,Yes,,Yes,$,$,Yes,Yes,72,6993,129,72.40,72,6245,122,69.60,73,5287,111,70.20,,courses-data-18139
rivers-edge-golf-resort,River's Edge Golf Resort,400 NW Proshop Dr,400 NW Pro Shop Dr,Bend,Oregon,97701,(541) 389-2828,www.riverhouse.com,Robert Muir Graves,"Robert Muir Graves, ASGCA",Public,18,1988,Open,"VISA, MasterCard Welcomed",year round,Yes,Yes,,Yes,$,$,Yes,Yes,72,6683,137,72.60,72,6440,135,71.60,73,5381,140,71.80,,courses-data-18139
the-old-back-nine-at-mountain-high,The Old Back Nine At Mountain High,60650 China Hat Rd,60650 China Hat Rd,Bend,Oregon,97702,(541) 382-1111,www.oldbacknine.com,,Jan Ward,Public,18,1990,Open,"VISA, MasterCard Welcomed",Open: 3/01 Closed: 10/01,Yes,Yes,,Yes,$,$,Yes,Included in fee,72,6656,131,72.00,72,6058,122,69.20,72,5268,120,69.20,,courses-data-18139
awbrey-glen-golf-club,Awbrey Glen Golf Club,2500 NW Awbrey Glen Dr,2500 NW Awbrey Glen Dr,Bend,Oregon,97701,(541) 388-8526,www.awbreyglen.com,Gene Bunny Mason,Gene Mason,Semi-Private,18,1993,Reciprocal,"VISA, MasterCard, Amex Welcomed",year round,Yes,Yes,,No,$$,$$,Yes,Yes,72,7005,130,72.80,72,6557,124,70.30,72,5396,125,70.00,,courses-data-18139
